time,gFx,gFy,gFz,TgF
15:28:21:0910,-0.2877,0.3571,0.5241,0.696
15:28:21:0920,-0.2877,0.3579,0.5326,0.703
15:28:21:0920,-0.2879,0.3576,0.5407,0.709
15:28:21:0960,-0.2882,0.3561,0.5483,0.714
15:28:21:0960,-0.2887,0.3547,0.5558,0.720
15:28:21:0980,-0.2899,0.3537,0.5637,0.726
15:28:21:0990,-0.2933,0.3532,0.5710,0.733
15:28:21:1019,-0.2980,0.3532,0.5783,0.740
15:28:21:1050,-0.3033,0.3539,0.5862,0.749
15:28:21:1050,-0.3080,0.3557,0.5947,0.758
15:28:21:1080,-0.3119,0.3579,0.6035,0.768
15:28:21:1090,-0.3156,0.3608,0.6116,0.777
15:28:21:1120,-0.3183,0.3645,0.6182,0.785
15:28:21:1140,-0.3185,0.3679,0.6231,0.791
15:28:21:1150,-0.3165,0.3711,0.6275,0.795
15:28:21:1180,-0.3136,0.3737,0.6324,0.799
15:28:21:1190,-0.3109,0.3759,0.6375,0.803
15:28:21:1220,-0.3085,0.3767,0.6416,0.805
15:28:21:1240,-0.3070,0.3767,0.6446,0.807
15:28:21:1260,-0.3058,0.3764,0.6470,0.809
15:28:21:1280,-0.3060,0.3764,0.6495,0.811
15:28:21:1310,-0.3077,0.3757,0.6529,0.814
15:28:21:1310,-0.3087,0.3747,0.6575,0.817
15:28:21:1340,-0.3095,0.3737,0.6614,0.820
15:28:21:1360,-0.3102,0.3737,0.6641,0.823
15:28:21:1429,-0.3117,0.3747,0.6668,0.826
15:28:21:1429,-0.3129,0.3752,0.6702,0.829
15:28:21:1440,-0.3121,0.3750,0.6737,0.832
15:28:21:1440,-0.3090,0.3740,0.6766,0.833
15:28:21:1840,-0.3063,0.3728,0.6800,0.834
15:28:21:1850,-0.3048,0.3708,0.6847,0.836
15:28:21:1850,-0.3031,0.3689,0.6900,0.839
15:28:21:1850,-0.3014,0.3659,0.6954,0.842
15:28:21:1860,-0.3038,0.3618,0.6996,0.844
15:28:21:1860,-0.3158,0.3544,0.7008,0.846
15:28:21:1860,-0.3317,0.3459,0.7030,0.851
